rechnungsnummer;anzahl_versionen;version;createdAt;aktualisiertAm;dokumentTyp;rechnungsStatus;bruttobetrag_eur;kundenname;kundennummer;projektId;docId;dateiId;dateiname;storno_zu;stornoGrund
RE-2026-0095;3;1;2026-02-18 07:53:39;2026-02-20 08:15:51;rechnung;storniert;1499,40;TSV Ebensfeld e. V. ;232;69739ee00014ff2fd017;69957003001da5756051;699570030007041e0772;Rechnung TSV Ebensfeld e. V. 2026.pdf;;Fehlerhafte Rechnungsadresse
RE-2026-0095;3;2;2026-02-20 10:05:18;2026-02-20 10:40:54;rechnung;storniert;1499,40;TSV Ebensfeld e. V. ;232;69739ee00014ff2fd017;699831dd00296191a36a;699831d9003dbe984e98;Rechnung TSV Ebensfeld e. V. 2026.pdf;;Lieferadresse fehlerhaft hinterlegt
RE-2026-0095;3;3;2026-02-20 10:41:10;2026-02-20 10:41:10;rechnung;(kein Status);1499,40;TSV Ebensfeld e. V. ;232;69739ee00014ff2fd017;69983a46003898d9c65d;69983a44000375461a3a;Rechnung TSV Ebensfeld e. V. 2026.pdf;;
RE-2026-0112;2;1;2026-02-25 20:55:01;2026-02-25 20:57:58;rechnung;storniert;1836,77;PTS Tennisplatz- und Sportanlagenbau GmbH;K10100;699eb12d003711c1fc6c;699f61a500321d1a5184;699f61a5001c785a534d;Rechnung PTS Tennisplatz- und Sportanlagenbau GmbH 2026.pdf;;1 Folie fehlt
RE-2026-0112;2;2;2026-02-25 20:58:31;2026-02-25 20:58:31;rechnung;(kein Status);1858,42;PTS Tennisplatz- und Sportanlagenbau GmbH;K10100;699eb12d003711c1fc6c;699f62770027463c2a3d;699f62770013129e6581;Rechnung PTS Tennisplatz- und Sportanlagenbau GmbH 2026.pdf;;
RE-2026-0114;2;1;2026-02-27 07:36:31;2026-02-27 07:40:55;rechnung;storniert;1138,53;Tennisclub Nüssttal e.V.;396;6966370d00299bfe8a53;69a1497f00219f8e89b0;69a1497f000a750920c2;Rechnung Tennisclub Nüssttal e.V. 2026.pdf;;"Fehlerhafte Rechnungsanschrift
"
RE-2026-0114;2;2;2026-02-27 07:55:27;2026-02-27 07:55:27;rechnung;(kein Status);1138,53;Tennisclub Nüssttal e.V.;396;6966370d00299bfe8a53;69a14def003612c04d45;69a14def0020fcc8448b;Rechnung Gemeinde Nüsttal 2026.pdf;;
RE-2026-0122;4;1;2026-03-04 10:24:24;2026-03-04 10:24:46;rechnung;storniert;1515,04;TC Dietenhofen e.V.;K10085;69a5b904002693472d95;69a80858000e6c0283e0;69a80857003673e9355e;Rechnung TC Dietenhofen e.V. 2026.pdf;;fehlerhafte Rechnungsadresse
RE-2026-0122;4;2;2026-03-04 10:26:05;2026-03-04 10:26:24;rechnung;storniert;0,00;TC Dietenhofen e.V.;K10085;69a5b904002693472d95;69a808bd002eb7e93ec1;69a808bd0018393223b7;Rechnung TC Dietenhofen e.V. - Thomas Vogl 2026.pdf;;Fehlerhafte Menge
RE-2026-0122;4;3;2026-03-04 10:27:42;2026-03-04 10:39:50;rechnung;storniert;1515,04;TC Dietenhofen e.V.;K10085;69a5b904002693472d95;69a8091e0019f7e3dea3;69a8091e00055b032fa3;Rechnung TC Dietenhofen e.V. - Thomas Vogl 2026.pdf;;Fehlerhafte Rechnungsadresse
